ers90,state_fips,state_abbv,states_count,states_abbv,cbsa10,cbsa_name
15100,39,OH,1,OH,17460,"Cleveland-Elyria, OH"
15200,39,OH,1,OH,17460,"Cleveland-Elyria, OH"
15300,54,WV,2,OH; WV,37620,"Parkersburg-Vienna, WV"
15400,39,OH,1,OH,49780,"Zanesville, OH"
15500,39,OH,2,OH; WV,48260,"Weirton-Steubenville, WV-OH"
15600,54,WV,2,OH; WV,48540,"Wheeling, WV-OH"
15700,39,OH,1,OH,39020,"Portsmouth, OH"
15800,39,OH,2,OH; WV,11900,"Athens, OH"
15900,39,OH,1,OH,18140,"Columbus, OH"
16000,39,OH,1,OH,31900,"Mansfield, OH"
16100,42,PA,1,PA,44300,"State College, PA"
16200,42,PA,1,PA,27780,"Johnstown, PA"
16300,42,PA,1,PA,38300,"Pittsburgh, PA"
16400,39,OH,2,OH; PA,49660,"Youngstown-Warren-Boardman, OH-PA"
16500,42,PA,2,NY; PA,21500,"Erie, PA"
16600,51,VA,2,VA; WV,40220,"Roanoke, VA"
16701,54,WV,1,WV,21180,"Elkins, WV"
16702,54,WV,1,WV,34060,"Morgantown, WV"
16703,54,WV,1,WV,NA,NA
16801,54,WV,1,WV,13220,"Beckley, WV"
16802,54,WV,1,WV,NA,NA
16901,54,WV,1,WV,16620,"Charleston, WV"
16902,54,WV,1,WV,NA,NA
17000,21,KY,2,KY; WV,NA,NA
17100,21,KY,3,KY; OH; WV,26580,"Huntington-Ashland, WV-KY-OH"
17200,51,VA,2,VA; WV,25500,"Harrisonburg, VA"
17300,51,VA,2,VA; NA,44420,"Staunton-Waynesboro, VA"
17400,42,PA,3,MD; PA; WV,25180,"Hagerstown-Martinsburg, MD-WV"
17501,24,MD,2,MD; WV,19060,"Cumberland, MD-WV"
17502,51,VA,2,VA; WV,49020,"Winchester, VA-WV"
17600,51,VA,1,VA,16820,"Charlottesville, VA"
17700,36,NY,1,NY,45060,"Syracuse, NY"
17800,36,NY,1,NY,36580,"Oneonta, NY"
17900,36,NY,2,NY; PA,13780,"Binghamton, NY"
18000,36,NY,1,NY,15380,"Buffalo-Cheektowaga-Niagara Falls, NY"
18100,36,NY,2,NY; PA,18500,"Corning, NY"
18201,36,NY,2,NY; PA,36460,"Olean, NY"
18202,42,PA,1,PA,NA,NA
18300,36,NY,1,NY,36300,"Ogdensburg-Massena, NY"
18400,36,NY,1,NY,38460,"Plattsburgh, NY"
18500,36,NY,1,NY,24100,"Gloversville, NY"
18600,36,NY,1,NY,10580,"Albany-Schenectady-Troy, NY"
18700,42,PA,1,PA,44980,"Sunbury, PA"
18800,42,PA,1,PA,42540,"Scranton--Wilkes-Barre--Hazleton, PA"
18900,42,PA,1,PA,48700,"Williamsport, PA"
19000,42,PA,1,PA,10900,"Allentown-Bethlehem-Easton, PA-NJ"
19100,42,PA,1,PA,29540,"Lancaster, PA"
19200,42,PA,1,PA,49620,"York-Hanover, PA"
19300,36,NY,1,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA"
19400,36,NY,1,NY,35620,"New York-Newark-Jersey City, NY-NJ-PA"
19500,34,NJ,1,NJ,35620,"New York-Newark-Jersey City, NY-NJ-PA"
19600,34,NJ,2,NJ; NY,35620,"New York-Newark-Jersey City, NY-NJ-PA"
